Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An object-oriented model of user interface generation tool","Journal of Computer Science and Technology","","9","3","10.1007/BF02939509","Weiqing TangSili WenShenquan Liu","1994","http://link.springer.com/article/10.1007/BF02939509","Article"
"PROFIL/BIAS—A fast interval library","Computing","","53","3 - 4","10.1007/BF02307379","O. Knüppel","1994","http://link.springer.com/article/10.1007/BF02307379","Article"
"Implicit matrix multiplication with maximum accuracy on various transputer networks","Computing","","53","3 - 4","10.1007/BF02307378","G. BohlenderT. KerstenR. Trier","1994","http://link.springer.com/article/10.1007/BF02307378","Article"
"A test environment using symbolic program trace","Computing","","53","3 - 4","10.1007/BF02307380","H. M. E. Berlejung","1994","http://link.springer.com/article/10.1007/BF02307380","Article"
"Hashing lazy numbers","Computing","","53","3 - 4","10.1007/BF02307374","Dr. M. O. BenouamerDr. P. JaillonDr. D. MichelucciJ -M. Moreau","1994","http://link.springer.com/article/10.1007/BF02307374","Article"
"Coarse-grain parallelizations of interval algorithms decomposing dense matrices and solving triangular systems on multicomputers","Computing","","53","3 - 4","10.1007/BF02307377","Dr. R. ReithProf. Dr. C. P. Ullrich","1994","http://link.springer.com/article/10.1007/BF02307377","Article"
"Research on decompiling technology","Journal of Computer Science and Technology","","9","4","10.1007/BF02943578","Zongtian LiuFuan Chen","1994","http://link.springer.com/article/10.1007/BF02943578","Article"
"GUIDS: A graphical user interface development system in UniECAD","Journal of Computer Science and Technology","","9","4","10.1007/BF02943581","Jianguo XuWenxin Wei","1994","http://link.springer.com/article/10.1007/BF02943581","Article"
"An automatic hierarchical delay analysis tool","Journal of Computer Science and Technology","","9","4","10.1007/BF02943582","Farid Mheir-El-SaadiBozena Kaminska","1994","http://link.springer.com/article/10.1007/BF02943582","Article"
"Adaptive memory coherence algorithms in DSVM","Journal of Computer Science and Technology","","9","4","10.1007/BF02943583","Jianqiang ZhouLi XieFei DaiZhongxiu Sun","1994","http://link.springer.com/article/10.1007/BF02943583","Article"
"A fast dot-product algorithm with minimal rounding errors","Computing","","52","4","10.1007/BF02276882","L. Kobbelt","1994","http://link.springer.com/article/10.1007/BF02276882","Article"
"CX11: A Chinese language supporting interface for X window environment","Journal of Computer Science and Technology","","10","1","10.1007/BF02939518","Zhiguo XiongXi XuShihai Dong","1995","http://link.springer.com/article/10.1007/BF02939518","Article"
"A locally optimized reordering algorithm and its application to a parallel sparse linear system solver","Computing","","54","1","10.1007/BF02238079","K. GallivanP. C. HansenTz. OstromskyZ. Zlatev","1995","http://link.springer.com/article/10.1007/BF02238079","Article"
"A maximum time difference pipelined arithmetic unit based on CMOS gate array","Journal of Computer Science and Technology","","10","2","10.1007/BF02948419","Zhimin TangPeisu Xia","1995","http://link.springer.com/article/10.1007/BF02948419","Article"
"Explicit preconditioned iterative methods for solving large unsymmetric finite element systems","Computing","","54","2","10.1007/BF02238130","Prof. Dr. E. A. LipitakisDr. G. A. Gravvanis","1995","http://link.springer.com/article/10.1007/BF02238130","Article"
"Using virtual ATE model to migrate test programs","Journal of Computer Science and Technology","","10","4","10.1007/BF02943498","Xiaoming WangQiaolin Yang","1995","http://link.springer.com/article/10.1007/BF02943498","Article"
